options__key,options__name,options__description,price,engineSize,averageRating,reviewsCount,power,MPGCombined
401589783,Kia Optima,SX Turbo 4dr Sedan (2.0L 4cyl Turbo 6A),29790.00,2.00,245.00,27.00,4.67,3.00
401597526,Kia Optima Hybrid,4dr Sedan (2.4L 4cyl gas/electric hybrid 6A),25995.00,2.40,199.00,38.00,0.00,0.00
200739910,Kia Rio,LX 4dr Hatchback (1.6L 4cyl 6A),15495.00,1.60,138.00,32.00,0.00,0.00
200743582,Kia Sedona,SX Limited 4dr Minivan (3.3L 6cyl 6A),39900.00,3.30,276.00,19.00,5.00,4.00
200724205,Kia Sorento,Limited 4dr SUV AWD (3.3L 6cyl 6A),43300.00,3.30,290.00,20.00,4.69,50.00
200748659,Kia Soul,+ 4dr Wagon (2.0L 4cyl 6A),19300.00,2.00,164.00,27.00,4.57,21.00
200746123,Kia Soul EV,4dr Wagon (electric DD),33950.00,3.00,0.00,107.00,5.00,3.00
200743056,Kia Sportage,LX 4dr SUV (2.4L 4cyl 6A),22150.00,2.40,182.00,24.00,4.50,2.00
401575238,Land Rover Discovery Sport,SE 4dr SUV AWD (2.0L 4cyl Turbo 9A),37455.00,2.00,240.00,23.00,4.00,5.00
401575014,Land Rover LR4,4dr SUV 4WD (3.0L 6cyl S/C 8A),50400.00,3.00,340.00,17.00,0.00,0.00
401589475,Land Rover Range Rover,HSE 4dr SUV 4WD (3.0L 6cyl S/C 8A),91950.00,3.00,380.00,20.00,0.00,0.00
